consolidated_latitude,consolidated_longitude,cluster
47.315053,-2.164328,2
48.798097,1.971874,0
48.798097,1.971874,0
48.798097,1.971874,0
48.798097,1.971874,0
43.562709,1.498871,4
45.6494913,-1.1178263,2
49.3959347,2.4218187,0
49.3959347,2.4218187,0
45.6883444,-0.3081358,4
45.6883444,-0.3081358,4
45.4403681,4.4239076,1
45.4403681,4.4239076,1
45.44038,4.424006,1
45.44038,4.424006,1
45.44038,4.424006,1
45.44038,4.424006,1
47.583135,7.55722,3
47.583135,7.55722,3
47.583132,7.557195,3
47.583132,7.557195,3
47.583132,7.557195,3
43.693127,1.40005,4
43.6926992,1.4005426,4
43.693127,1.40005,4
43.693127,1.40005,4
