consolidated_latitude,consolidated_longitude,cluster
43.445696,6.63861,1
43.342153,6.689706,1
43.423766,6.771648,1
43.427591,6.769099,1
43.431219,6.870301,1
43.432224,6.857109,1
43.417625,6.84497,1
43.413416,6.780578,1
43.64222,6.958667,1
43.414773,6.778844,1
43.424876,6.766603,1
43.426121,6.770057,1
43.425128,6.770335,1
43.429654,6.775273,1
43.416224,6.808597,1
43.598635,6.986055,1
43.573036,6.991493,1
43.426157,6.769688,1
43.629398,6.842196,1
43.794887,7.04193,1
43.590169,7.003423,1
43.600811,7.090968,1
43.8626656,6.7400327,1
43.884386,6.860905,1
43.796854,6.711036,1
43.698395,6.850611,1
43.829775,6.967658,1
43.579938,7.117204,1
43.623508,7.099397,1
43.54903,7.030538,1
43.641953,7.134451,1
43.569819,7.114114,1
43.647991,6.856857,1
43.547829,6.941274,1
43.651509,6.795309,1
43.6673056,7.047749,1
43.6673056,7.047749,1
43.534256,6.945192,1
43.6302627,7.1319392,1
43.6305178,6.844537,1
43.6411172,6.8770786,1
43.598392,6.9312497,1
43.6456635,6.9150626,1
43.6500485,6.921026999999999,1
43.5865895,6.9400483,1
43.5584573,7.0062438,1
43.5653648,7.010404799999999,1
43.728943,6.793374,1
43.5635772,7.001856800000001,1
43.546664,7.0380335,1
43.6028734,6.988001199999999,1
43.4231949,6.744004,1
43.432854,6.7413288,1
43.431183,6.7572407,1
43.4337882,6.7274775,1
43.42706099999999,6.7875698,1
43.41484759999999,6.807338300000001,1
43.843212,6.858089,1
43.4229395,6.7704189,1
43.4285627,6.7802679,1
43.4288988,6.777712699999999,1
43.4269957,6.7669722,1
43.4269957,6.7669722,1
43.4323033,6.766865699999999,1
43.42739118766436,6.774370692065417,1
43.341893,6.686820000000001,1
43.3676237,6.7105519,1
43.4352388,6.790412299999999,1
43.4352388,6.790412299999999,1
43.846939,6.728566,1
43.4548121,6.6847958,1
43.569516,6.995056,1
43.569516,6.995056,1
43.598521,7.124273,1
43.65251824064468,6.818704367039277,1
43.43575334491504,6.80753620154171,1
43.43162153526671,6.734541824319544,1
43.51779027292167,6.940024700138876,1
43.55766891388173,7.021567207778999,1
43.594131,6.92641,1
43.773846,6.703947,1
43.569169396463046,7.019038971948111,1
43.59954696813893,6.910323713030126,1
43.526376,6.8376619,1
43.64040966607878,7.005898715045653,1
43.57674195747983,6.940335059954687,1
43.5499498,7.0322498,1
43.569022063413016,6.965138399803719,1
43.501978685021605,6.940991859694591,1
43.8080799,7.0963962,1
43.74146323730725,6.900166330595749,1
43.825058,7.122704,1
43.67563043682303,6.973928789303031,1
43.74374577589609,7.008973071602291,1
43.68577846501165,7.101420065004803,1
43.62652444320182,6.937946695791251,1
43.62624440110313,6.9400502435870886,1
43.66373222942693,6.925003745111661,1
43.64720872667208,6.954213046467915,1
43.64854642419768,6.911274762019464,1
43.68139898096814,6.960294118365905,1
43.67679220321517,7.012872283176128,1
43.701473,6.989127,1
43.64175630765608,7.01022642384499,1
43.661269469415984,6.987496335036757,1
43.623474769713226,7.099453674549953,1
43.658110163941,7.121461377219564,1
43.66590501482089,7.116543003868113,1
43.62594126019254,7.05394378209534,1
43.62591239754769,7.097062443741024,1
43.62591239754769,7.097062443741024,1
43.58222819682058,7.02729070528944,1
43.5586902,6.9390052,1
43.58479579999999,7.1140406,1
43.799503,6.807771,1
43.603145,7.121626,1
43.592455,7.106004,1
43.589316,7.1226655,1
43.58918610000001,7.123053,1
43.57147192980977,7.096746210134903,1
43.34236637538178,6.69122931989426,1
43.50127066131373,6.644593461305361,1
43.443911,6.636004,1
43.43763887896401,6.736158440093051,1
43.4536966101858,6.683436431710104,1
43.77903,6.731209,1
43.44431524327985,6.636416172740046,1
43.43763887896401,6.736158440093051,1
43.59395366495836,7.09470220888764,1
43.593939,7.112615,1
43.591835,7.116594,1
43.5998114,7.1114548,1
43.698345,7.114808999999999,1
43.6309293,7.1356142,1
43.69853955756248,6.983982981597343,1
43.6648149,7.0428367,1
43.720795,6.977588,1
43.596689,6.955351599999999,1
43.8710941210305,7.005064305651579,1
43.84340895492629,7.046540441735852,1
43.84650030464724,7.0929605504125774,1
43.42363551573133,6.755684743663451,1
43.52509528980788,6.813962458251709,1
43.5251755126216,6.814016102429332,1
43.680862,6.972588,1
43.88600654764412,7.020147218498969,1
43.68072078387195,6.975068309054146,1
43.674377,7.005572,1
43.6392900020711,7.011091962268173,1
43.621709689542925,7.044532197544993,1
43.718712,7.06308,1
43.54916,6.971852,1
43.673621,7.00185,1
43.5713780541512,7.111631374218781,1
43.59121955669109,7.095104173079182,1
43.554817,7.022205,1
43.568874,7.10996,1
43.505989,6.939531,1
43.485077,6.934108,1
43.54985,6.966343,1
43.60107,6.997377,1
43.587605,7.037986,1
43.604153,6.98771,1
43.609589,7.015534,1
43.580826,6.998574,1
43.796143,6.943561,1
43.718616,7.063297,1
43.575954,7.053818,1
43.656189,7.12692,1
43.637203,7.139475,1
43.658474,7.120687,1
43.5781175,7.0552123,1
43.564846,7.072232,1
43.571644,7.077683,1
43.569656,7.073825,1
43.665592,7.04891,1
43.668011,7.043364,1
43.654064,6.926369,1
43.562817,7.005574,1
43.654076,6.944208,1
43.639103,6.911085,1
43.640907,6.936605,1
43.620224,6.973192,1
43.61684,6.971394,1
43.600079,7.12197,1
43.578243,7.120866,1
43.627628,7.094443,1
43.667213,6.985467,1
43.685253,7.099003,1
43.68607351594797,7.106837513185993,1
43.624069,7.045228,1
43.642086,7.007241,1
43.621956,7.039275,1
43.640324,7.007235,1
43.655693,6.875867,1
43.888893,6.863265,1
43.592361,6.929529,1
43.639107,6.875872,1
43.549686,7.006912,1
43.700356,6.847364,1
43.547508,6.979139,1
43.577526,7.016371,1
43.569206,7.01581,1
43.577129,6.998012,1
43.576397,7.006267,1
43.566551,6.968254,1
43.575386,7.018548,1
43.569118,6.993788,1
43.638214,6.873651,1
43.551323,7.008748,1
43.650307,6.793363,1
43.550246,6.946316,1
43.620566,6.932883,1
43.6483052,6.8862305,1
43.568851,6.984026,1
43.62566,7.054662,1
43.628931,7.133592,1
45.45884,4.38219,1
48.70158,5.9342,3
49.495106,5.746956,3
48.07067,6.8718,3
48.77,2.05,0
46.34,4.61,1
48.345345,7.487105,3
48.53,2.02,0
44.67712655145992,0.1822585012980415,4
43.706298,4.948532,1
43.761237,4.94716,1
43.724666,4.709475,1
43.788423,4.755862,1
43.721516,4.80578,1
43.722592,4.805189,1
43.691626,4.870647,1
43.719317,4.782551,1
43.781708,4.726419,1
43.792941,4.829711,1
43.786244,4.831202,1
43.788743,4.834699,1
43.790756,4.829994,1
44.48,-1.08,4
49.289694,6.535945,3
48.15,-1.59,2
48.61,-2.28,2
48.41,-1.75,2
48.41,-1.75,2
46.315383,6.069783,1
46.137854,5.905975,1
46.356683,6.14317,3
46.356317,6.138469,3
46.354321,6.146604,3
46.337364,6.059975,1
46.334443,6.060595,1
46.336414,6.06652,1
46.302797,5.940436,1
46.276432,6.093718,1
46.189193,5.926096,1
46.254006,6.080138,1
46.244089,6.021124,1
46.233905,6.020435,1
46.234908,5.980897,1
46.301014,6.095916,1
48.958987,2.426238,0
48.958987,2.426238,0
48.958987,2.426238,0
48.958987,2.426238,0
43.553304,1.411217,4
43.553304,1.411217,4
47.16544,-1.592016,2
47.16544,-1.592016,2
47.1611,-1.588167,2
47.1611,-1.588167,2
43.563385,1.499135,4
43.563385,1.499135,4
43.560614,1.501608,4
43.560614,1.501608,4
43.559359,1.496693,4
43.559359,1.496693,4
43.55999,1.496496,4
43.55999,1.496496,4
43.43673,5.22575,1
43.43673,5.22575,1
43.435678,5.23348,1
43.435678,5.23348,1
43.431394,5.231156,1
43.431394,5.231156,1
43.438673,5.230696,1
43.438673,5.230696,1
43.431587,5.23195,1
43.431587,5.23195,1
43.431587,5.23195,1
43.431587,5.23195,1
43.434066,5.232089,1
43.434066,5.232089,1
43.438392,5.230332,1
43.438392,5.230332,1
43.430538,5.231615,1
43.430538,5.231615,1
43.436287,5.233248,1
43.436287,5.233248,1
43.435773,5.233203,1
43.435773,5.233203,1
43.436077,5.230907,1
43.436077,5.230907,1
43.433481,5.231021,1
43.433481,5.231021,1
43.436707,5.228972,1
43.436707,5.228972,1
43.436707,5.228972,1
43.436707,5.228972,1
43.429861,5.234887,1
43.431029,5.234052,1
43.431029,5.234052,1
43.429861,5.234887,1
43.437097,5.231806,1
43.437097,5.231806,1
43.435678,5.23348,1
43.435678,5.23348,1
43.434066,5.232089,1
43.434066,5.232089,1
43.42981,5.231499,1
43.42981,5.231499,1
43.438673,5.230696,1
43.438673,5.230696,1
43.430901,5.232736,1
43.430901,5.232736,1
43.625513,1.345795,4
43.625513,1.345795,4
43.555028,1.485597,4
43.555028,1.485597,4
43.560616,1.478294,4
43.560616,1.478294,4
43.560616,1.478294,4
43.560616,1.478294,4
48.958987,2.426238,0
48.958987,2.426238,0
47.170653,-1.589192,2
47.170653,-1.589192,2
43.652797,1.362918,4
43.652797,1.362918,4
43.654208,1.361356,4
43.654208,1.361356,4
43.625273,1.388931,4
43.625273,1.388931,4
43.624404,1.38573,4
43.624404,1.38573,4
43.625513,1.345795,4
43.625513,1.345795,4
43.624879,1.389495,4
43.624879,1.389495,4
43.62003,1.386557,4
43.62003,1.386557,4
43.620207,1.384644,4
43.620207,1.384644,4
43.611086,1.368733,4
43.611086,1.368733,4
43.611086,1.368733,4
43.611086,1.368733,4
43.618261,1.356936,4
43.618261,1.356936,4
43.610398,1.361874,4
43.610398,1.361874,4
43.632361,1.347889,4
43.632361,1.347889,4
43.63358,1.347229,4
43.63358,1.347229,4
43.611715,1.372879,4
43.611715,1.372879,4
43.610936,1.370552,4
43.610936,1.370552,4
43.615658,1.351304,4
43.615658,1.351304,4
43.655871,1.359294,4
43.655871,1.359294,4
47.312592,-2.169912,2
47.312592,-2.169912,2
43.620207,1.384644,4
47.313576,-2.167975,2
47.313576,-2.167975,2
47.311515,-2.172223,2
47.311515,-2.172223,2
43.620207,1.384644,4
47.314186,-2.169861,2
47.314186,-2.169861,2
48.798097,1.971874,0
47.31697,-2.162724,2
47.31697,-2.162724,2
47.315899,-2.164493,2
47.315899,-2.164493,2
47.313804,-2.170005,2
47.313804,-2.170005,2
47.31001,-2.170475,2
47.31001,-2.170475,2
47.314186,-2.169861,2
47.314186,-2.169861,2
47.31687,-2.163457,2
47.31687,-2.163457,2
47.317554,-2.160301,2
47.317554,-2.160301,2
47.315053,-2.164328,2
